Transition, Time (secs), Satisfiable
transition__S01__a__S06__mediante_met_terminate,0.043,false
transition__S06__a__S04__mediante_met_terminate,0.041,false
transition__S10__a__S06__mediante_met_modify,0.04,false
transition__S01__a__S07__mediante_met_terminate,0.047,false
transition__S06__a__S05__mediante_met_terminate,0.048,false
transition__S10__a__S07__mediante_met_modify,0.051,false
transition__S01__a__S08__mediante_met_terminate,0.037,false
transition__S06__a__S06__mediante_met_terminate,0.042,false
transition__S10__a__S08__mediante_met_modify,0.043,false
transition__S01__a__S09__mediante_met_terminate,0.043,false
transition__S06__a__S07__mediante_met_terminate,0.044,false
transition__S10__a__S09__mediante_met_modify,0.04,false
transition__S06__a__S08__mediante_met_terminate,0.037,false
transition__S01__a__S10__mediante_met_terminate,0.059,true
transition__S10__a__S10__mediante_met_modify,0.047,false
transition__S02__a__S01__mediante_met_terminate,0.04,false
transition__S06__a__S09__mediante_met_terminate,0.044,false
transition__S10__a__S01__mediante_met_makeOffer,0.042,false
transition__S02__a__S02__mediante_met_terminate,0.042,false
transition__S10__a__S02__mediante_met_makeOffer,0.041,false
transition__S06__a__S10__mediante_met_terminate,0.069,true
transition__S02__a__S03__mediante_met_terminate,0.031,false
transition__S10__a__S03__mediante_met_makeOffer,0.037,false
transition__S02__a__S04__mediante_met_terminate,0.035,false
transition__S07__a__S01__mediante_met_terminate,0.047,false
transition__S10__a__S04__mediante_met_makeOffer,0.046,false
transition__S02__a__S05__mediante_met_terminate,0.047,false
transition__S07__a__S02__mediante_met_terminate,0.046,false
transition__S10__a__S05__mediante_met_makeOffer,0.051,false
transition__S07__a__S03__mediante_met_terminate,0.037,false
transition__S02__a__S06__mediante_met_terminate,0.045,false
transition__S02__a__S07__mediante_met_terminate,0.039,false
transition__S07__a__S04__mediante_met_terminate,0.044,false
transition__S10__a__S06__mediante_met_makeOffer,0.048,false
transition__S02__a__S08__mediante_met_terminate,0.036,false
transition__S10__a__S07__mediante_met_makeOffer,0.044,false
transition__S07__a__S05__mediante_met_terminate,0.048,false
transition__S02__a__S09__mediante_met_terminate,0.034,false
transition__S07__a__S06__mediante_met_terminate,0.045,false
transition__S10__a__S08__mediante_met_makeOffer,0.047,false
transition__S02__a__S10__mediante_met_terminate,0.058,true
transition__S10__a__S09__mediante_met_makeOffer,0.042,false
transition__S07__a__S07__mediante_met_terminate,0.05,false
transition__S03__a__S01__mediante_met_terminate,0.045,false
transition__S10__a__S10__mediante_met_makeOffer,0.045,false
transition__S07__a__S08__mediante_met_terminate,0.051,false
transition__S03__a__S02__mediante_met_terminate,0.043,false
transition__S10__a__S01__mediante_met_acceptOffer,0.05,false
transition__S07__a__S09__mediante_met_terminate,0.05,false
transition__S03__a__S03__mediante_met_terminate,0.052,false
transition__S10__a__S02__mediante_met_acceptOffer,0.052,false
transition__S07__a__S10__mediante_met_terminate,0.055,false
transition__S03__a__S04__mediante_met_terminate,0.062,false
transition__S10__a__S03__mediante_met_acceptOffer,0.056,false
transition__S08__a__S01__mediante_met_terminate,0.055,false
transition__S03__a__S05__mediante_met_terminate,0.055,false
transition__S10__a__S04__mediante_met_acceptOffer,0.054,false
transition__S08__a__S02__mediante_met_terminate,0.073,false
transition__S03__a__S06__mediante_met_terminate,0.053,false
transition__S10__a__S05__mediante_met_acceptOffer,0.064,false
transition__S08__a__S03__mediante_met_terminate,0.051,false
transition__S03__a__S07__mediante_met_terminate,0.06,false
transition__S10__a__S06__mediante_met_acceptOffer,0.052,false
transition__S08__a__S04__mediante_met_terminate,0.068,false
transition__S03__a__S08__mediante_met_terminate,0.052,false
transition__S10__a__S07__mediante_met_acceptOffer,0.051,false
transition__S08__a__S05__mediante_met_terminate,0.039,false
transition__S10__a__S08__mediante_met_acceptOffer,0.032,false
transition__S03__a__S09__mediante_met_terminate,0.037,false
transition__S08__a__S06__mediante_met_terminate,0.041,false
transition__S10__a__S09__mediante_met_acceptOffer,0.037,false
transition__S03__a__S10__mediante_met_terminate,0.061,true
transition__S08__a__S07__mediante_met_terminate,0.032,false
transition__S10__a__S10__mediante_met_acceptOffer,0.04,false
transition__S08__a__S08__mediante_met_terminate,0.032,false
transition__S04__a__S01__mediante_met_terminate,0.034,false
transition__S10__a__S01__mediante_met_reject,0.036,false
transition__S08__a__S09__mediante_met_terminate,0.033,false
transition__S04__a__S02__mediante_met_terminate,0.037,false
transition__S10__a__S02__mediante_met_reject,0.04,false
transition__S04__a__S03__mediante_met_terminate,0.042,false
transition__S08__a__S10__mediante_met_terminate,0.058,true
transition__S10__a__S03__mediante_met_reject,0.04,false
transition__S04__a__S04__mediante_met_terminate,0.039,false
transition__S09__a__S01__mediante_met_terminate,0.033,false
transition__S10__a__S04__mediante_met_reject,0.043,false
transition__S04__a__S05__mediante_met_terminate,0.043,false
transition__S09__a__S02__mediante_met_terminate,0.05,false
transition__S10__a__S05__mediante_met_reject,0.041,false
transition__S04__a__S06__mediante_met_terminate,0.041,false
transition__S10__a__S06__mediante_met_reject,0.03,false
transition__S09__a__S03__mediante_met_terminate,0.044,false
transition__S04__a__S07__mediante_met_terminate,0.039,false
transition__S10__a__S07__mediante_met_reject,0.046,false
transition__S09__a__S04__mediante_met_terminate,0.044,false
transition__S04__a__S08__mediante_met_terminate,0.049,false
transition__S10__a__S08__mediante_met_reject,0.047,false
transition__S09__a__S05__mediante_met_terminate,0.05,false
transition__S04__a__S09__mediante_met_terminate,0.035,false
transition__S10__a__S09__mediante_met_reject,0.042,false
transition__S09__a__S06__mediante_met_terminate,0.045,false
transition__S10__a__S10__mediante_met_reject,0.034,false
transition__S04__a__S10__mediante_met_terminate,0.067,true
transition__S09__a__S07__mediante_met_terminate,0.036,false
transition__S10__a__S01__mediante_met_accept,0.06,false
transition__S09__a__S08__mediante_met_terminate,0.057,false
transition__S01__a__S01__mediante_met_modify,0.078,true
transition__S09__a__S09__mediante_met_terminate,0.054,false
transition__S10__a__S02__mediante_met_accept,0.068,false
transition__S01__a__S02__mediante_met_modify,0.042,false
transition__S10__a__S03__mediante_met_accept,0.034,false
transition__S09__a__S10__mediante_met_terminate,0.038,false
transition__S01__a__S03__mediante_met_modify,0.036,false
transition__S10__a__S04__mediante_met_accept,0.032,false
