Transition, Time (secs), Satisfiable
transition__S09__a__S06__mediante_met_terminate,0.049,false
transition__S04__a__S08__mediante_met_terminate,0.04,false
transition__S10__a__S02__mediante_met_accept,0.045,false
transition__S09__a__S07__mediante_met_terminate,0.036,false
transition__S04__a__S09__mediante_met_terminate,0.033,false
transition__S10__a__S03__mediante_met_accept,0.042,false
transition__S09__a__S08__mediante_met_terminate,0.029,false
transition__S10__a__S04__mediante_met_accept,0.032,false
transition__S09__a__S09__mediante_met_terminate,0.032,false
transition__S04__a__S10__mediante_met_terminate,0.064,true
transition__S10__a__S05__mediante_met_accept,0.026,false
transition__S09__a__S10__mediante_met_terminate,0.026,false
transition__S10__a__S06__mediante_met_accept,0.032,false
transition__S05__a__S01__mediante_met_modify,0.029,false
transition__S01__a__S01__mediante_met_modify,0.051,true
transition__S01__a__S02__mediante_met_modify,0.019,false
transition__S10__a__S07__mediante_met_accept,0.031,false
transition__S05__a__S02__mediante_met_modify,0.03,false
transition__S01__a__S03__mediante_met_modify,0.027,false
transition__S05__a__S03__mediante_met_modify,0.026,false
transition__S10__a__S08__mediante_met_accept,0.03,false
transition__S01__a__S04__mediante_met_modify,0.023,false
transition__S10__a__S09__mediante_met_accept,0.023,false
transition__S05__a__S04__mediante_met_modify,0.029,false
transition__S01__a__S05__mediante_met_modify,0.028,false
transition__S05__a__S05__mediante_met_modify,0.03,false
transition__S10__a__S10__mediante_met_accept,0.033,false
transition__S01__a__S06__mediante_met_modify,0.026,false
transition__S10__a__S01__mediante_met_modifyOffer,0.023,false
transition__S05__a__S06__mediante_met_modify,0.029,false
transition__S01__a__S07__mediante_met_modify,0.042,false
transition__S10__a__S02__mediante_met_modifyOffer,0.042,false
transition__S05__a__S07__mediante_met_modify,0.042,false
transition__S01__a__S08__mediante_met_modify,0.032,false
transition__S10__a__S03__mediante_met_modifyOffer,0.027,false
transition__S05__a__S08__mediante_met_modify,0.032,false
transition__S01__a__S09__mediante_met_modify,0.026,false
transition__S10__a__S04__mediante_met_modifyOffer,0.034,false
transition__S05__a__S09__mediante_met_modify,0.032,false
transition__S01__a__S10__mediante_met_modify,0.031,false
transition__S10__a__S05__mediante_met_modifyOffer,0.029,false
transition__S05__a__S10__mediante_met_modify,0.03,false
transition__S02__a__S01__mediante_met_modify,0.028,false
transition__S10__a__S06__mediante_met_modifyOffer,0.03,false
transition__S06__a__S01__mediante_met_modify,0.029,false
transition__S02__a__S02__mediante_met_modify,0.029,false
transition__S10__a__S07__mediante_met_modifyOffer,0.024,false
transition__S06__a__S02__mediante_met_modify,0.027,false
transition__S02__a__S03__mediante_met_modify,0.026,false
transition__S10__a__S08__mediante_met_modifyOffer,0.026,false
transition__S06__a__S03__mediante_met_modify,0.026,false
transition__S02__a__S04__mediante_met_modify,0.024,false
transition__S10__a__S09__mediante_met_modifyOffer,0.024,false
transition__S06__a__S04__mediante_met_modify,0.028,false
transition__S02__a__S05__mediante_met_modify,0.025,false
transition__S10__a__S10__mediante_met_modifyOffer,0.026,false
transition__S06__a__S05__mediante_met_modify,0.025,false
transition__S02__a__S06__mediante_met_modify,0.029,false
transition__S10__a__S01__mediante_met_rescindOffer,0.027,false
transition__S06__a__S06__mediante_met_modify,0.039,false
transition__S10__a__S02__mediante_met_rescindOffer,0.033,false
transition__S02__a__S07__mediante_met_modify,0.04,false
transition__S10__a__S03__mediante_met_rescindOffer,0.019,false
transition__S06__a__S07__mediante_met_modify,0.036,false
transition__S02__a__S08__mediante_met_modify,0.044,false
transition__S10__a__S04__mediante_met_rescindOffer,0.045,false
transition__S02__a__S09__mediante_met_modify,0.034,false
transition__S06__a__S08__mediante_met_modify,0.063,false
transition__S10__a__S05__mediante_met_rescindOffer,0.052,false
transition__S02__a__S10__mediante_met_modify,0.049,false
transition__S06__a__S09__mediante_met_modify,0.051,false
transition__S10__a__S06__mediante_met_rescindOffer,0.046,false
transition__S03__a__S01__mediante_met_modify,0.047,false
transition__S06__a__S10__mediante_met_modify,0.035,false
transition__S10__a__S07__mediante_met_rescindOffer,0.053,false
transition__S07__a__S01__mediante_met_modify,0.041,false
transition__S03__a__S02__mediante_met_modify,0.045,false
transition__S10__a__S08__mediante_met_rescindOffer,0.026,false
transition__S07__a__S02__mediante_met_modify,0.027,false
transition__S03__a__S03__mediante_met_modify,0.025,false
transition__S10__a__S09__mediante_met_rescindOffer,0.028,false
transition__S03__a__S04__mediante_met_modify,0.025,false
transition__S07__a__S03__mediante_met_modify,0.031,false
transition__S07__a__S04__mediante_met_modify,0.02,false
transition__S10__a__S10__mediante_met_rescindOffer,0.028,false
transition__S03__a__S05__mediante_met_modify,0.035,false
transition__S07__a__S05__mediante_met_modify,0.027,false
transition__S10__a__S01__mediante_met_markAppraised,0.03,false
transition__S03__a__S06__mediante_met_modify,0.027,false
transition__S07__a__S06__mediante_met_modify,0.026,false
transition__S03__a__S07__mediante_met_modify,0.02,false
transition__S10__a__S02__mediante_met_markAppraised,0.03,false
transition__S07__a__S07__mediante_met_modify,0.021,false
transition__S03__a__S08__mediante_met_modify,0.021,false
transition__S10__a__S03__mediante_met_markAppraised,0.03,false
transition__S07__a__S08__mediante_met_modify,0.032,false
transition__S03__a__S09__mediante_met_modify,0.029,false
transition__S10__a__S04__mediante_met_markAppraised,0.029,false
transition__S07__a__S09__mediante_met_modify,0.026,false
transition__S03__a__S10__mediante_met_modify,0.027,false
transition__S10__a__S05__mediante_met_markAppraised,0.02,false
transition__S07__a__S10__mediante_met_modify,0.024,false
transition__S04__a__S01__mediante_met_modify,0.025,false
transition__S10__a__S06__mediante_met_markAppraised,0.028,false
transition__S08__a__S01__mediante_met_modify,0.031,false
transition__S04__a__S02__mediante_met_modify,0.032,false
transition__S10__a__S07__mediante_met_markAppraised,0.034,false
transition__S08__a__S02__mediante_met_modify,0.027,false
transition__S04__a__S03__mediante_met_modify,0.029,false
transition__S10__a__S08__mediante_met_markAppraised,0.026,false
transition__S08__a__S03__mediante_met_modify,0.024,false
transition__S04__a__S04__mediante_met_modify,0.025,false
transition__S10__a__S09__mediante_met_markAppraised,0.028,false
transition__S08__a__S04__mediante_met_modify,0.025,false
transition__S04__a__S05__mediante_met_modify,0.025,false
transition__S10__a__S10__mediante_met_markAppraised,0.029,false
transition__S08__a__S05__mediante_met_modify,0.027,false
transition__S04__a__S06__mediante_met_modify,0.032,false
transition__S10__a__S01__mediante_met_markInspected,0.026,false
transition__S08__a__S06__mediante_met_modify,0.028,false
transition__S04__a__S07__mediante_met_modify,0.025,false
transition__S10__a__S02__mediante_met_markInspected,0.027,false
transition__S08__a__S07__mediante_met_modify,0.03,false
transition__S04__a__S08__mediante_met_modify,0.026,false
transition__S10__a__S03__mediante_met_markInspected,0.027,false
transition__S08__a__S08__mediante_met_modify,0.027,false
transition__S04__a__S09__mediante_met_modify,0.029,false
transition__S10__a__S04__mediante_met_markInspected,0.028,false
transition__S08__a__S09__mediante_met_modify,0.026,false
transition__S04__a__S10__mediante_met_modify,0.027,false
transition__S10__a__S05__mediante_met_markInspected,0.025,false
transition__S08__a__S10__mediante_met_modify,0.02,false
transition__S01__a__S01__mediante_met_makeOffer,0.024,false
transition__S10__a__S06__mediante_met_markInspected,0.024,false
transition__S09__a__S01__mediante_met_modify,0.026,false
transition__S10__a__S07__mediante_met_markInspected,0.024,false
transition__S09__a__S02__mediante_met_modify,0.026,false
transition__S01__a__S02__mediante_met_makeOffer,0.05,true
transition__S10__a__S08__mediante_met_markInspected,0.027,false
transition__S09__a__S03__mediante_met_modify,0.022,false
transition__S01__a__S03__mediante_met_makeOffer,0.027,false
transition__S10__a__S09__mediante_met_markInspected,0.025,false
transition__S09__a__S04__mediante_met_modify,0.029,false
transition__S01__a__S04__mediante_met_makeOffer,0.038,false
transition__S10__a__S10__mediante_met_markInspected,0.035,false
transition__S09__a__S05__mediante_met_modify,0.037,false
transition__S01__a__S05__mediante_met_makeOffer,0.023,false
transition__S09__a__S06__mediante_met_modify,0.019,false
transition__S01__a__S06__mediante_met_makeOffer,0.023,false
transition__S09__a__S07__mediante_met_modify,0.019,false
transition__S01__a__S07__mediante_met_makeOffer,0.024,false
transition__S09__a__S08__mediante_met_modify,0.022,false
transition__S01__a__S08__mediante_met_makeOffer,0.021,false
transition__S09__a__S09__mediante_met_modify,0.02,false
transition__S01__a__S09__mediante_met_makeOffer,0.017,false
transition__S09__a__S10__mediante_met_modify,0.025,false
transition__S01__a__S10__mediante_met_makeOffer,0.02,false
transition__S05__a__S01__mediante_met_makeOffer,0.021,false
transition__S02__a__S01__mediante_met_makeOffer,0.029,false
transition__S05__a__S02__mediante_met_makeOffer,0.029,false
transition__S02__a__S02__mediante_met_makeOffer,0.031,false
transition__S05__a__S03__mediante_met_makeOffer,0.028,false
transition__S02__a__S03__mediante_met_makeOffer,0.027,false
transition__S05__a__S04__mediante_met_makeOffer,0.023,false
transition__S02__a__S04__mediante_met_makeOffer,0.021,false
transition__S05__a__S05__mediante_met_makeOffer,0.025,false
transition__S02__a__S05__mediante_met_makeOffer,0.026,false
transition__S05__a__S06__mediante_met_makeOffer,0.025,false
transition__S02__a__S06__mediante_met_makeOffer,0.024,false
transition__S05__a__S07__mediante_met_makeOffer,0.028,false
transition__S02__a__S07__mediante_met_makeOffer,0.024,false
transition__S05__a__S08__mediante_met_makeOffer,0.023,false
transition__S02__a__S08__mediante_met_makeOffer,0.024,false
transition__S05__a__S09__mediante_met_makeOffer,0.024,false
transition__S02__a__S09__mediante_met_makeOffer,0.021,false
transition__S05__a__S10__mediante_met_makeOffer,0.018,false
transition__S02__a__S10__mediante_met_makeOffer,0.022,false
transition__S06__a__S01__mediante_met_makeOffer,0.022,false
transition__S03__a__S01__mediante_met_makeOffer,0.024,false
transition__S06__a__S02__mediante_met_makeOffer,0.02,false
transition__S06__a__S03__mediante_met_makeOffer,0.016,false
transition__S03__a__S02__mediante_met_makeOffer,0.02,false
transition__S06__a__S04__mediante_met_makeOffer,0.016,false
transition__S03__a__S03__mediante_met_makeOffer,0.02,false
transition__S06__a__S05__mediante_met_makeOffer,0.027,false
transition__S03__a__S04__mediante_met_makeOffer,0.032,false
transition__S06__a__S06__mediante_met_makeOffer,0.022,false
transition__S03__a__S05__mediante_met_makeOffer,0.026,false
transition__S06__a__S07__mediante_met_makeOffer,0.023,false
transition__S03__a__S06__mediante_met_makeOffer,0.029,false
transition__S06__a__S08__mediante_met_makeOffer,0.023,false
transition__S03__a__S07__mediante_met_makeOffer,0.026,false
transition__S06__a__S09__mediante_met_makeOffer,0.025,false
transition__S03__a__S08__mediante_met_makeOffer,0.022,false
transition__S06__a__S10__mediante_met_makeOffer,0.028,false
transition__S03__a__S09__mediante_met_makeOffer,0.031,false
transition__S07__a__S01__mediante_met_makeOffer,0.037,false
transition__S03__a__S10__mediante_met_makeOffer,0.03,false
transition__S07__a__S02__mediante_met_makeOffer,0.041,false
transition__S04__a__S01__mediante_met_makeOffer,0.029,false
transition__S07__a__S03__mediante_met_makeOffer,0.025,false
transition__S04__a__S02__mediante_met_makeOffer,0.018,false
transition__S04__a__S03__mediante_met_makeOffer,0.022,false
transition__S07__a__S04__mediante_met_makeOffer,0.023,false
transition__S04__a__S04__mediante_met_makeOffer,0.018,false
transition__S07__a__S05__mediante_met_makeOffer,0.02,false
transition__S07__a__S06__mediante_met_makeOffer,0.018,false
